GOOD,990171,Greenway Carriers,Anova,NJ,OH,0.8,425,,
GOOD,990174,Greenway Carriers,Anova,NJ,OH,0.5,425,,
GOOD,990175,Greenway Carriers,Anova,NJ,OH,-1.5,425,,
GOOD,990176,Cross Country Express Shippers,Anova,NJ,OH,0.2,425,,
GOOD,990179,Delagato's Express,Anova,NJ,OH,0.5,425,,
GOOD,990181,Federal Amulgated,Anova,NJ,OH,0.8,425,,
GOOD,990186,Greenway Carriers,Anova,NJ,OH,-0.1,425,,
GOOD,990187,Greenway Carriers,Anova,NJ,OH,-0.8,425,,
GOOD,990188,Federal Amulgated,Anova,NJ,OH,0.8,425,,
GOOD,990191,Airtight Shipping,Anova,NJ,OH,0,425,,
GOOD,990192,Delagato's Express,Anova,NJ,OH,-0.1,425,,
GOOD,990199,Cross Country Express Shippers,Anova,NJ,OH,0,425,,
GOOD,990201,Greenway Carriers,Anova,NJ,OH,0.8,425,,
GOOD,990205,Federal Amulgated,Anova,NJ,OH,0.5,425,,
GOOD,990206,Delagato's Express,Anova,NJ,OH,0,425,,
GOOD,990207,Airtight Shipping,Anova,NJ,OH,0.3,425,,
GOOD,990210,Xpressway,Anova,NJ,OH,-1,425,,
GOOD,990212,Cross Country Express Shippers,Anova,NJ,OH,0.3,425,,
GOOD,990213,Airtight Shipping,Anova,NJ,OH,0,425,,
GOOD,990214,Delagato's Express,Anova,NJ,OH,0,425,,
GOOD,990216,Greenway Carriers,Anova,NJ,OH,0.5,425,,
GOOD,990218,Greenway Carriers,Anova,NJ,OH,0,425,,
GOOD,990221,Federal Amulgated,Anova,NJ,OH,0.3,425,,
GOOD,990222,Xpressway,Anova,NJ,OH,0,425,,
GOOD,990223,Xpressway,Anova,NJ,OH,-1.1,425,,
GOOD,990225,Greenway Carriers,Anova,NJ,OH,0.3,425,,
GOOD,990226,Greenway Carriers,Anova,NJ,OH,0.3,425,,
GOOD,990228,Cross Country Express Shippers,Anova,NJ,OH,-0.8,425,,
GOOD,990232,Airtight Shipping,Anova,NJ,OH,-0.3,425,,
GOOD,990234,Delagato's Express,Anova,NJ,OH,0,425,,
GOOD,990236,Federal Amulgated,Anova,NJ,OH,0.3,425,,
GOOD,990239,Xpressway,Anova,NJ,OH,0,425,,
GOOD,990240,Xpressway,Anova,NJ,OH,0,425,,
GOOD,990241,Greenway Carriers,Anova,NJ,OH,0.8,425,,
GOOD,990242,Greenway Carriers,Anova,NJ,OH,0,425,,
GOOD,990243,Greenway Carriers,Anova,NJ,OH,0.6,425,,
GOOD,990244,Greenway Carriers,Anova,NJ,OH,0.3,425,,
GOOD,990246,Delagato's Express,Anova,NJ,OH,0,425,,
GOOD,990247,Airtight Shipping,Anova,NJ,OH,0.8,425,,
GOOD,990248,Delagato's Express,Anova,NJ,OH,0,425,,
GOOD,990250,Xpressway,Anova,NJ,OH,-1.8,425,,
GOOD,990251,Greenway Carriers,Anova,NJ,OH,0.5,425,,
GOOD,990253,Greenway Carriers,Anova,NJ,OH,-0.2,425,,
GOOD,990254,Federal Amulgated,Anova,NJ,OH,0,425,,
GOOD,990257,Airtight Shipping,Anova,NJ,OH,-0.4,425,,
GOOD,990258,Delagato's Express,Anova,NJ,OH,0.1,425,,
GOOD,990259,Federal Amulgated,Anova,NJ,OH,0.5,425,,
GOOD,990262,Greenway Carriers,Anova,NJ,OH,1,425,,
GOOD,990263,Greenway Carriers,Anova,NJ,OH,-0.5,425,,
GOOD,990264,Federal Amulgated,Anova,NJ,OH,-3,425,,
GOOD,990265,Cross Country Express Shippers,Anova,NJ,OH,-1.3,425,,
GOOD,990266,Airtight Shipping,Anova,NJ,OH,-4.5,425,,
GOOD,990268,Airtight Shipping,Anova,NJ,OH,0.3,425,,
GOOD,990269,Delagato's Express,Anova,NJ,OH,0,425,,
GOOD,990270,Federal Amulgated,Anova,NJ,OH,0,425,,
GOOD,990272,Greenway Carriers,Anova,NJ,OH,0.2,425,,
GOOD,990273,Greenway Carriers,Anova,NJ,OH,-2.5,425,,
GOOD,990275,Greenway Carriers,Anova,NJ,OH,0,425,,
GOOD,990276,Delagato's Express,Anova,NJ,OH,0.8,425,,
GOOD,990277,Federal Amulgated,Anova,NJ,OH,-0.2,425,,
GOOD,990279,Xpressway,Anova,NJ,OH,0,435,,
GOOD,990280,Xpressway,Anova,NJ,OH,0,425,,
GOOD,990282,Greenway Carriers,Anova,NJ,OH,-1.9,435,,
GOOD,990283,Federal Amulgated,Anova,NJ,OH,-0.5,425,,
GOOD,990284,Cross Country Express Shippers,Anova,NJ,OH,-0.8,435,,
GOOD,990286,Airtight Shipping,Anova,NJ,OH,-3,425,,
GOOD,990287,Delagato's Express,Anova,NJ,OH,0.5,425,,
GOOD,990289,Xpressway,Anova,NJ,OH,-0.3,425,,
GOOD,990291,Greenway Carriers,Anova,NJ,OH,0,425,,
GOOD,990292,Greenway Carriers,Anova,NJ,OH,-6,425,,
GOOD,990294,Cross Country Express Shippers,Anova,NJ,OH,0,425,,
GOOD,990296,Xpressway,Anova,NJ,OH,-2.5,425,,
GOOD,990298,Xpressway,Anova,NJ,OH,-1,425,,
GOOD,990299,Greenway Carriers,Anova,NJ,OH,0.7,430,,
GOOD,990300,Greenway Carriers,Anova,NJ,OH,0.2,430,,
GOOD,990302,Airtight Shipping,Kyle Industries,IN,KY,-0.8,375,,
GOOD,990303,Delagato's Express,Kyle Industries,KY,IN,-1.5,400,,
GOOD,990304,Federal Amulgated,Kyle Industries,IN,KY,0.5,400,,
GOOD,990307,Cross Country Express Shippers,Kyle Industries,OH,KY,0.7,650,,
GOOD,990310,Greenway Carriers,Kyle Industries,TX,TX,0.4,275,,
GOOD,990311,Federal Amulgated,Kyle Industries,IL,CO,0.4,1,600,
GOOD,990313,Greenway Carriers,Anova,WA,TX,0,2,750,
GOOD,990314,Greenway Carriers,Anova,WA,TX,-1,2,600,
GOOD,990317,Delagato's Express,Kyle Industries,IL,OK,0.3,500,,
GOOD,990322,Cross Country Express Shippers,Kyle Industries,MO,KY,0.5,485,,
GOOD,990325,Xpressway,Kyle Industries,OH,KY,0.5,600,,
GOOD,990326,Xpressway,Kyle Industries,KY,IN,0.8,350,,
GOOD,990327,Xpressway,Kyle Industries,OH,KY,0,500,,
GOOD,990330,Delagato's Express,Kyle Industries,OH,KY,-0.3,400,,
GOOD,990331,Federal Amulgated,Kyle Industries,IN,KY,0.5,400,,
GOOD,990332,Greenway Carriers,Anova,AZ,UT,0.5,1,100,
GOOD,990335,Greenway Carriers,HP,GA,OR,-6,404,,
GOOD,990341,Airtight Shipping,Kyle Industries,IN,KY,-1.3,400,,
GOOD,990342,Airtight Shipping,Kyle Industries,KY,IL,-0.7,500,,
GOOD,990344,Cross Country Express Shippers,Anova,AZ,UT,0.6,1,50,
GOOD,990353,Delagato's Express,Kyle Industries,MO,KY,0,522,,
GOOD,990354,Federal Amulgated,Kyle Industries,IN,KY,0.1,425,,
GOOD,990356,Xpressway,Kyle Industries,OR,CA,0.5,924,,
GOOD,990359,Cross Country Express Shippers,Anova,AZ,UT,0.3,1,500,
GOOD,990362,Xpressway,Wayerhouse,SC,GA,0.3,775,,
GOOD,990365,Delagato's Express,Kyle Industries,KY,MS,-0.3,425,,
GOOD,990366,Xpressway,Anova,AZ,UT,-1.3,1,100,
GOOD,990367,Greenway Carriers,Anova,NM,CO,0.5,600,,
GOOD,990368,Greenway Carriers,Kyle Industries,KY,IL,-4,500,,
GOOD,990370,Greenway Carriers,Kyle Industries,OR,CA,0.2,880,,
GOOD,990371,Greenway Carriers,Kyle Industries,OR,CA,0.8,865,,
GOOD,990373,Xpressway,Kyle Industries,KY,OH,0.5,450,,
GOOD,990375,Greenway Carriers,Anova,NE,KS,0.5,525,,
GOOD,990376,Greenway Carriers,Kyle Industries,OR,CA,0,1,64,
GOOD,990377,Greenway Carriers,Kyle Industries,OR,CA,0,1,278,
GOOD,990379,Greenway Carriers,Kyle Industries,OR,CA,0,940,,
GOOD,990380,Cross Country Express Shippers,Kyle Industries,OH,KY,0.5,650,,
GOOD,990383,Federal Amulgated,Kyle Industries,IN,KY,0.5,400,,
GOOD,990385,Cross Country Express Shippers,Kyle Industries,IN,KY,0.3,400,,
GOOD,990387,Greenway Carriers,Kyle Industries,OR,CA,0,843,,
GOOD,990388,Federal Amulgated,Kyle Industries,OR,CA,0.5,837,,
GOOD,990390,Xpressway,Kyle Industries,IL,KY,-0.2,439,,
GOOD,990392,Airtight Shipping,Kyle Industries,OR,CA,0.7,882,,
GOOD,990394,Airtight Shipping,Anova,AZ,UT,-0.5,1,100,
GOOD,990396,Xpressway,Kyle Industries,IN,KY,0.3,400,,
GOOD,990399,Greenway Carriers,Anova,CO,WA,0,2,275,
GOOD,990400,Greenway Carriers,Anova,CO,WA,-3.3,2,200,
GOOD,990401,Airtight Shipping,Anova,CO,WA,-1.5,2,275,
GOOD,990404,Federal Amulgated,Anova,CO,WA,0.7,2,250,
GOOD,990406,Federal Amulgated,Anova,CO,WA,0.5,2,275,
GOOD,990408,Xpressway,Anova,CO,WA,0.5,2,275,
GOOD,990409,Cross Country Express Shippers,Anova,CO,WA,0.1,2,275,
GOOD,990411,Delagato's Express,Anova,ID,UT,0.3,425,,
GOOD,990413,Airtight Shipping,Anova,AZ,UT,0,1,50,
GOOD,990414,Greenway Carriers,Kyle Industries,OR,CA,-0.5,844,,
GOOD,990418,Xpressway,Anova,AZ,UT,-2.3,1,50,
GOOD,990419,Delagato's Express,Anova,NE,KS,0.3,500,,
GOOD,990423,Cross Country Express Shippers,HP,GA,OR,-0.7,410,,
GOOD,990430,Greenway Carriers,Kyle Industries,KY,IN,0,325,,
GOOD,990431,Cross Country Express Shippers,Anova,TX,TX,0,600,,
GOOD,990432,Delagato's Express,Kyle Industries,OR,CA,-1.9,1,264,
GOOD,990437,Xpressway,Anova,AZ,UT,-0.8,1,100,
GOOD,990439,Xpressway,Anova,WA,WA,0.8,550,,
GOOD,990440,Greenway Carriers,Anova,WA,WA,0,550,,
GOOD,990442,Greenway Carriers,Anova,WA,WA,0.8,550,,
GOOD,990443,Greenway Carriers,Anova,WA,WA,-4,500,,
GOOD,990444,Federal Amulgated,Koncept,WA,WA,0.5,,,
GOOD,990445,Cross Country Express Shippers,Anova,WA,WA,-1.3,500,,
GOOD,990446,Cross Country Express Shippers,Anova,WA,WA,0,500,,
GOOD,990448,Greenway Carriers,Anova,WA,WA,-0.3,550,,
GOOD,990451,Greenway Carriers,Anova,WA,WA,0.3,550,,
GOOD,990455,Federal Amulgated,Anova,WA,WA,0,500,,
GOOD,990456,Cross Country Express Shippers,Anova,WA,WA,0.5,500,,
GOOD,990457,Cross Country Express Shippers,Anova,WA,WA,0,500,,
GOOD,990458,Cross Country Express Shippers,Anova,WA,WA,0,550,,
GOOD,990460,Airtight Shipping,Anova,WA,WA,0.5,550,,
GOOD,990461,Delagato's Express,Anova,WA,WA,-0.2,500,,
GOOD,990462,Airtight Shipping,Anova,WA,WA,-1.5,500,,
GOOD,990463,Federal Amulgated,Anova,WA,WA,-0.3,550,,
GOOD,990465,Cross Country Express Shippers,Anova,WA,WA,-3,550,,
GOOD,990466,Cross Country Express Shippers,Anova,WA,WA,0.5,550,,
GOOD,990468,Airtight Shipping,Anova,TX,TX,0.3,600,,
GOOD,990470,Federal Amulgated,Anova,WA,WA,-0.5,500,,
GOOD,990471,Delagato's Express,Anova,WA,WA,0.7,500,,
GOOD,990472,Federal Amulgated,Anova,WA,WA,0.5,500,,
GOOD,990473,Xpressway,Kyle Industries,KY,OH,0.3,425,,
GOOD,990474,Xpressway,Kyle Industries,KY,OH,-0.1,425,,
GOOD,990475,Xpressway,Kyle Industries,OR,CA,-0.5,960,,
GOOD,990476,Xpressway,Anova,NE,KS,0,525,,
GOOD,990478,Xpressway,Anova,AZ,UT,-1.3,,,
GOOD,990479,Greenway Carriers,Anova,AZ,UT,0,1,150,
GOOD,990482,Xpressway,Kyle Industries,MN,IL,-1.5,86,,
GOOD,990483,Airtight Shipping,Anova,NM,CO,0,650,,
GOOD,990484,Greenway Carriers,Anova,NM,CO,-2,650,,
GOOD,990485,Airtight Shipping,Anova,NM,CO,-3.5,850,,
GOOD,990487,Greenway Carriers,Kyle Industries,OH,KY,0.5,550,,
GOOD,990491,Delagato's Express,Anova,AZ,UT,0.3,1,125,
GOOD,990492,Xpressway,Anova,ID,UT,0,425,,
GOOD,990494,Greenway Carriers,Kyle Industries,TX,TX,-0.5,500,,
GOOD,990495,Xpressway,Kyle Industries,KY,IL,-0.2,450,,
GOOD,990496,Cross Country Express Shippers,Kyle Industries,KY,IN,0,60,,
GOOD,990497,Airtight Shipping,Kyle Industries,KY,MO,0.5,651,,
GOOD,990498,Delagato's Express,Kyle Industries,KY,IL,0,451,,
GOOD,990499,Greenway Carriers,Anova,AZ,UT,-0.7,1,55,
GOOD,990504,Cross Country Express Shippers,Anova,NJ,OH,0.2,435,,
GOOD,990505,Cross Country Express Shippers,Anova,NJ,OH,0,435,,
GOOD,990506,Delagato's Express,Anova,NJ,OH,0.5,430,,
GOOD,990507,Federal Amulgated,Anova,NJ,OH,0.7,435,,
GOOD,990510,Xpressway,Anova,NJ,OH,0.5,425,,
GOOD,990511,Cross Country Express Shippers,Anova,AZ,UT,-1,1,125,
GOOD,990513,Cross Country Express Shippers,Anova,AZ,UT,-0.5,1,250,
GOOD,990514,Delagato's Express,Anova,AZ,UT,0.5,1,100,
GOOD,990515,Federal Amulgated,Kyle Industries,KY,IN,-0.5,325,,
GOOD,990520,Cross Country Express Shippers,Kyle Industries,IN,KY,-0.5,425,,
GOOD,990523,Xpressway,Kyle Industries,IN,KY,0,425,,
GOOD,990526,Cross Country Express Shippers,Anova,TX,CO,0,1,0,
GOOD,990529,Cross Country Express Shippers,Anova,NM,CO,0.5,810,,
GOOD,990530,Airtight Shipping,Anova,NM,CO,-8,810,,
GOOD,990532,Cross Country Express Shippers,Anova,NM,CO,-21,725,,
GOOD,990533,Cross Country Express Shippers,Anova,ID,UT,-3.3,440,,
GOOD,990534,Greenway Carriers,Kyle Industries,KY,IL,0.8,464,,
GOOD,990537,Greenway Carriers,Kyle Industries,KY,IL,0.2,464,,
GOOD,990540,Cross Country Express Shippers,Kyle Industries,KY,IL,-0.3,525,,
GOOD,990541,Airtight Shipping,Kyle Industries,OR,CA,0.8,863,,
GOOD,990544,Airtight Shipping,Anova,MN,ND,-5.5,1,250,
GOOD,990545,Xpressway,Anova,MN,ND,-0.5,,,
GOOD,990546,Delagato's Express,Anova,MN,ND,-1,1,100,
GOOD,990547,Greenway Carriers,Kyle Industries,OR,CA,-1.4,953,,
GOOD,990548,Federal Amulgated,Anova,NM,CO,0.5,650,,
GOOD,990549,Airtight Shipping,Anova,NM,CO,0.4,700,,
GOOD,990550,Greenway Carriers,Anova,AZ,UT,-4,1,125,
GOOD,990551,Greenway Carriers,Anova,AZ,UT,0.5,1,200,
GOOD,990552,Cross Country Express Shippers,Anova,AZ,UT,-0.5,1,200,
GOOD,990553,Delagato's Express,Kyle Industries,KY,IN,0.8,350,,
GOOD,990555,Greenway Carriers,Kyle Industries,IN,KY,-0.8,400,,
GOOD,990557,Delagato's Express,Anova,CA,CA,0.3,783,,
GOOD,990560,Greenway Carriers,Kyle Industries,KY,IL,0.6,467,,
GOOD,990562,Xpressway,Nextalis,MD,TX,0.5,2,0,
GOOD,990563,Greenway Carriers,Nextalis,MD,TX,-1,1,825,
GOOD,990567,Greenway Carriers,Anova,NJ,OH,-0.5,430,,
GOOD,990569,Greenway Carriers,Anova,NJ,OH,0.3,425,,
GOOD,990570,Delagato's Express,Anova,ID,UT,-0.5,435,,
GOOD,990571,Cross Country Express Shippers,Kyle Industries,KY,IL,0,464,,
GOOD,990575,Greenway Carriers,HP,GA,OR,0.5,,,
GOOD,990577,Greenway Carriers,HP,GA,OR,0,,,
GOOD,990578,Airtight Shipping,Kyle Industries,OR,CA,0.5,825,,
GOOD,990580,Greenway Carriers,Accent on Style,CA,CA,0.8,575,,48
GOOD,990582,Delagato's Express,Accent on Style,MN,KY,-0.5,1,50,-30
GOOD,990583,Airtight Shipping,Kyle Industries,KY,OH,0.5,580,,
GOOD,990584,Federal Amulgated,Kyle Industries,KY,IL,0.3,467,,
GOOD,990586,Xpressway,Anova,NJ,OH,-0.9,425,,
GOOD,990587,Xpressway,Anova,NJ,OH,-24.5,425,,
GOOD,990589,Greenway Carriers,Anova,NJ,OH,-0.3,425,,
GOOD,990590,Greenway Carriers,Anova,NJ,OH,0,425,,
GOOD,990592,Greenway Carriers,Anova,NJ,OH,-1.4,435,,
GOOD,990594,Cross Country Express Shippers,Anova,NJ,OH,0.2,425,,
GOOD,990595,Airtight Shipping,Anova,NJ,OH,0,425,,
GOOD,990596,Xpressway,Anova,NJ,OH,-0.5,430,,
GOOD,990598,Delagato's Express,Nextalis,MD,TX,-6,1,850,
GOOD,990599,Delagato's Express,Kyle Industries,KY,IL,0.7,467,,
GOOD,990601,Airtight Shipping,Anova,ID,UT,-0.7,450,,
GOOD,990604,Delagato's Express,Anova,CA,CA,0.7,673,,
GOOD,990605,Greenway Carriers,Anova,CA,CA,-2.5,673,,
GOOD,990606,Greenway Carriers,Anova,NE,KS,0.5,500,,
GOOD,990607,Airtight Shipping,Anova,AZ,UT,0.5,1,150,
GOOD,990608,Greenway Carriers,Anova,NM,CO,-1,650,,
GOOD,990609,Greenway Carriers,Anova,AZ,UT,-1.3,1,150,
GOOD,990610,Greenway Carriers,Anova,CA,CA,0.5,,,
GOOD,990612,Xpressway,Anova,NE,KS,0.8,525,,
GOOD,990616,Cross Country Express Shippers,Kyle Industries,KY,IN,0.5,325,,
GOOD,990618,Greenway Carriers,Anova,CA,CA,0,,,
GOOD,990619,Greenway Carriers,Accent on Style,FL,TN,-0.3,638,,-18
GOOD,990622,Cross Country Express Shippers,Anova,NE,KS,0,525,,
GOOD,990623,Xpressway,Nextalis,MD,TX,0.5,1,800,
GOOD,990630,Xpressway,Kyle Industries,KY,MO,0.5,675,,
GOOD,990631,Xpressway,Kyle Industries,KY,MO,-3.3,675,,
GOOD,990634,Airtight Shipping,Accent on Style,LA,TN,-0.5,1,0,-30
GOOD,990635,Greenway Carriers,Anova,NE,KS,-0.3,525,,
GOOD,990637,Greenway Carriers,Kyle Industries,KY,IL,0,467,,
GOOD,990638,Greenway Carriers,Kyle Industries,KY,IL,0.5,467,,
GOOD,990640,Xpressway,Nextalis,MD,TX,0.5,,,
GOOD,990648,Federal Amulgated,Kyle Industries,KY,IL,0,467,,
GOOD,990649,Federal Amulgated,Nextalis,KY,TX,0.1,1,550,
GOOD,990651,Airtight Shipping,Accent on Style,MB,TN,0.6,757,,36
GOOD,990652,Xpressway,Accent on Style,LA,KY,0.8,1,125,48
GOOD,990653,Airtight Shipping,Anova,NM,CO,0,810,,
GOOD,990655,Delagato's Express,Nextalis,WA,MA,0,3,800,
GOOD,990657,Delagato's Express,Anova,NE,KS,0.8,525,,
GOOD,990660,Xpressway,Nextalis,WA,MA,0,1,703,
GOOD,990662,Federal Amulgated,Anova,MN,ND,0.5,1,100,
GOOD,990664,Delagato's Express,Anova,NM,CO,0.8,810,,
GOOD,990667,Xpressway,Kyle Industries,KY,IL,0.5,467,,
GOOD,990668,Xpressway,Kyle Industries,KY,IL,0.8,467,,
GOOD,990670,Cross Country Express Shippers,Anova,NE,KS,0.4,500,,
GOOD,990671,Greenway Carriers,Kyle Industries,KY,IL,0,467,,
GOOD,990672,Delagato's Express,Viktoria's,AR,WI,-2.5,1,83,
GOOD,990673,Cross Country Express Shippers,Viktoria's,AR,WI,-1.9,1,134,
GOOD,990674,Greenway Carriers,Viktoria's,AR,WI,0.1,1,46,
GOOD,990675,Federal Amulgated,HP,GA,OR,0,398,,
GOOD,990676,Federal Amulgated,HP,GA,OR,-2.1,398,,
GOOD,990677,Cross Country Express Shippers,HP,GA,OR,-0.8,398,,
GOOD,990678,Greenway Carriers,HP,GA,OR,-1.3,400,,
GOOD,990681,Airtight Shipping,Anova,TX,TX,-1.5,580,,
GOOD,990684,Greenway Carriers,Nextalis,KY,WI,0.5,950,,
GOOD,990687,Greenway Carriers,Anova,WA,WA,0.7,325,,
GOOD,990688,Federal Amulgated,Anova,WA,WA,0,325,,
GOOD,990689,Cross Country Express Shippers,Anova,WA,WA,0,325,,
GOOD,990691,Cross Country Express Shippers,Anova,WA,WA,0,325,,
GOOD,990693,Cross Country Express Shippers,Anova,WA,WA,0.8,325,,
GOOD,990694,Xpressway,Anova,WA,WA,-1.8,325,,
GOOD,990695,Xpressway,Anova,WA,WA,0,325,,
GOOD,990696,Cross Country Express Shippers,Anova,WA,WA,0.5,325,,
GOOD,990698,Airtight Shipping,Anova,TX,TX,0.8,600,,
GOOD,990700,Greenway Carriers,Anova,WA,WA,0,325,,
GOOD,990701,Federal Amulgated,Anova,WA,WA,-0.2,325,,
GOOD,990702,Cross Country Express Shippers,Anova,WA,WA,0,325,,
GOOD,990703,Cross Country Express Shippers,Anova,WA,WA,-3,325,,
GOOD,990706,Federal Amulgated,Anova,WA,WA,0,325,,
GOOD,990709,Cross Country Express Shippers,Viktoria's,AR,MN,0.3,1,149,
GOOD,990711,Greenway Carriers,Viktoria's,AR,WI,0,1,83,
GOOD,990714,Delagato's Express,Nextalis,KY,TX,-5,1,235,
GOOD,990715,Greenway Carriers,Anova,WA,WA,-0.2,325,,
